TriadID	Chr	Pos	RecombinationRate
T000041	1A	9107740	1.74
T000041	1B	9841241	0.2
T000041	1D	7475824	2.27
T000042	1A	9121173	1.74
T000042	1B	9722059	0.2
T000042	1D	7504123	2.27
T000043	1A	9356670	1.74
T000043	1B	9596141	0.2
T000043	1D	7210586	2.27
T000045	1A	9562335	1.74
T000045	1B	10088148	0
T000045	1D	7906354	2.27
T000046	1A	9581593	1.74
T000046	1B	10105320	0
T000046	1D	7915136	2.27
T000047	1A	9587958	1.74
T000047	1B	10112737	0
T000047	1D	7920144	2.27
T000048	1A	9643548	1.74
T000048	1B	10205345	0
T000048	1D	7947463	2.27
T000049	1A	9970645	1.74
T000049	1B	11408106	0
T000049	1D	8390066	2.36
T000050	1A	10049067	1.83
T000050	1B	11692737	0
T000050	1D	8618953	2.36
T000051	1A	10070934	1.83
T000051	1B	11861778	0
T000051	1D	8716382	2.36
T000052	1A	10079598	1.83
T000052	1B	11887590	0
T000052	1D	8723832	2.36
T000055	1A	11555424	2.25
T000055	1B	14138547	0
T000055	1D	9745471	5.17
T000056	1A	11568174	2.25
T000056	1B	14149090	0
T000056	1D	9762060	5.17
T000057	1A	11663563	2.25
T000057	1B	14845623	0
T000057	1D	9873475	5.17
T000058	1A	11813855	2.25
T000058	1B	15040446	2.61
T000058	1D	10171900	2.6
T000059	1A	12097445	1.94
T000059	1B	15289252	2.61
T000059	1D	10381546	2.6
T000060	1A	12101250	1.94
T000060	1B	15293100	2.61
T000060	1D	10385183	2.6
T000061	1A	12143269	1.94
T000061	1B	15440462	2.61
T000061	1D	10399327	2.6
T000062	1A	12159467	1.94
T000062	1B	15449740	2.61
T000062	1D	10435235	2.6
T000063	1A	12315621	1.94
T000063	1B	15872450	2.61
T000063	1D	10669142	2.6
T000065	1A	12366779	1.94
T000065	1B	15748007	2.61
T000065	1D	10718789	2.6
T000066	1A	12371830	1.94
T000066	1B	15743277	2.61
T000066	1D	10723168	2.6
T000068	1A	12916058	1.94
T000068	1B	23980233	0.22
T000068	1D	10737824	2.6
T000069	1A	12919360	1.94
T000069	1B	16217059	2.19
T000069	1D	10741113	2.6
T000070	1A	13765569	1.48
T000070	1B	17382947	1.95
T000070	1D	11620613	2.41
T000071	1A	13774160	1.48
T000071	1B	17389024	1.95
T000071	1D	11632389	2.41
T000072	1A	13862077	1.48
T000072	1B	17623769	1.95
T000072	1D	11781754	2.41
T000073	1A	13974274	1.48
T000073	1B	17684092	1.95
T000073	1D	11852290	2.41
T000074	1A	14050938	1.43
T000074	1B	17735205	1.95
T000074	1D	11969569	2.41
T000076	1A	14141645	1.43
T000076	1B	17790626	1.95
T000076	1D	12312943	1.88
T000078	1A	14161789	1.43
T000078	1B	17891132	1.95
T000078	1D	12328750	1.88
T000080	1A	14468674	1.43
T000080	1B	18571039	1.53
T000080	1D	12822984	1.88
T000081	1A	14506072	1.43
T000081	1B	18421254	1.53
T000081	1D	13030628	1.79
T000082	1A	14522708	1.43
T000082	1B	18386680	1.53
T000082	1D	13041935	1.79
T000083	1A	14591840	1.43
T000083	1B	19041169	1.37
T000083	1D	13323027	1.79
T000084	1A	15433797	1.1
T000084	1B	20592329	1.28
T000084	1D	14483980	1.69
T000085	1A	15439795	1.1
T000085	1B	20586796	1.28
T000085	1D	14478364	1.69
T000086	1A	15517490	1.1
T000086	1B	20835713	1.28
T000086	1D	15049398	1.65
T000087	1A	16039271	1.23
T000087	1B	21805365	1.24
T000087	1D	15520239	1.65
T000088	1A	16434630	1.23
T000088	1B	22023439	0.18
T000088	1D	15361641	1.65
T000089	1A	16932956	1.23
T000089	1B	30395529	0.33
T000089	1D	16380422	0.96
T000091	1A	18291937	1.22
T000091	1B	30881193	0.33
T000091	1D	16969185	0.96
T000092	1A	18311774	1.22
T000092	1B	24787181	0.26
T000092	1D	17016467	0.66
T000093	1A	18461502	1.22
T000093	1B	24932799	0.26
T000093	1D	17168837	0.66
T000094	1A	18487980	1.22
T000094	1B	24989400	0.26
T000094	1D	17195006	0.66
T000095	1A	19062790	1.09
T000095	1B	25113385	0.28
T000095	1D	17237120	0.66
T000096	1A	19896509	1.09
T000096	1B	25813431	0.28
T000096	1D	17642622	0.66
T000097	1A	20029645	0.97
T000097	1B	26396880	0.32
T000097	1D	17999460	0.66
T000098	1A	20092974	0.97
T000098	1B	26187319	0.32
T000098	1D	18066920	0.66
T000099	1A	20157550	0.97
T000099	1B	26135164	0.32
T000099	1D	18098500	0.66
T000100	1A	20181827	0.97
T000100	1B	26784300	0.32
T000100	1D	18161260	0.66
T000101	1A	20371860	0.97
T000101	1B	27150022	0.28
T000101	1D	18396355	0.66
T000102	1A	20417608	0.97
T000102	1B	27239142	0.28
T000102	1D	18431882	0.66
T000104	1A	20896089	0.97
T000104	1B	28039327	0.31
T000104	1D	18912295	0.66
T000106	1A	20918727	0.97
T000106	1B	28165426	0.31
T000106	1D	18994666	0.66
T000107	1A	20936752	0.97
T000107	1B	28484958	0.31
T000107	1D	19023688	0.66
T000108	1A	20978978	0.97
T000108	1B	28563336	0.31
T000108	1D	19129190	0.66
T000109	1A	21023179	0.82
T000109	1B	28763235	0.31
T000109	1D	19185410	0.66
T000110	1A	21025398	0.82
T000110	1B	28766114	0.31
T000110	1D	19187825	0.66
T000111	1A	21041998	0.82
T000111	1B	28817573	0.31
T000111	1D	19266196	0.66
T000114	1A	22271659	0.77
T000114	1B	33857101	0.23
T000114	1D	20193696	0.72
T000115	1A	22283017	0.77
T000115	1B	33921263	0.23
T000115	1D	20185265	0.72
T000116	1A	22289640	0.77
T000116	1B	33979067	0.23
T000116	1D	20055568	0.72
T000118	1A	22298175	0.77
T000118	1B	33987204	0.23
T000118	1D	20047017	0.72
T000119	1A	22535547	0.77
T000119	1B	34167479	0.18
T000119	1D	20826881	0.72
T000120	1A	22633783	0.77
T000120	1B	16478707	2.19
T000120	1D	11124066	2.41
T000121	1A	22656891	0.77
T000121	1B	16465614	2.19
T000121	1D	10986912	2.6
T000123	1A	22756319	0.77
T000123	1B	16427436	2.19
T000123	1D	10935601	2.6
T000124	1A	23006362	0.85
T000124	1B	35130721	0.28
T000124	1D	21456162	0.75
T000126	1A	23132062	0.85
T000126	1B	36267903	0.28
T000126	1D	21830463	0.75
T000127	1A	23340068	0.85
T000127	1B	37799621	0.24
T000127	1D	22437110	0.78
T000128	1A	23421712	0.85
T000128	1B	38226207	0.13
T000128	1D	22380422	0.78
T000129	1A	23817202	0.85
T000129	1B	38833946	0.13
T000129	1D	22624862	0.78
T000130	1A	23828670	0.85
T000130	1B	39234575	0.41
T000130	1D	22736484	0.78
T000131	1A	23857299	0.85
T000131	1B	39069093	0.41
T000131	1D	22863915	0.78
T000132	1A	23968090	0.85
T000132	1B	38909365	0.13
T000132	1D	22886028	0.78
T000133	1A	24077669	1
T000133	1B	39311386	0.41
T000133	1D	22903289	0.78
T000134	1A	24247312	1
T000134	1B	39541262	0.41
T000134	1D	22975065	0.78
T000135	1A	24320368	1
T000135	1B	39578715	0.41
T000135	1D	23005625	0.77
T000137	1A	25542169	0
T000137	1B	39850523	0.41
T000137	1D	24536252	0.74
T000138	1A	25545728	0
T000138	1B	39854398	0.41
T000138	1D	24539651	0.74
T000139	1A	25705321	0
T000139	1B	40183611	0.4
T000139	1D	24782743	0.74
T000140	1A	25712222	0
T000140	1B	40197624	0.4
T000140	1D	24789543	0.74
T000141	1A	25793236	0
T000141	1B	40388817	0.4
T000141	1D	25103472	0.77
T000143	1A	26960741	0
T000143	1B	41087098	0.41
T000143	1D	25730621	0.77
T000144	1A	26968437	0
T000144	1B	41094607	0.41
T000144	1D	25739045	0.77
T000145	1A	27055488	0.41
T000145	1B	41366943	0.41
T000145	1D	25772544	0.77
T000146	1A	27259632	0.41
T000146	1B	41643028	0.41
T000146	1D	25956513	0.77
T000147	1A	27361257	0.41
T000147	1B	42014224	0.04
T000147	1D	26295522	1.11
T000148	1A	27755060	0.41
T000148	1B	42349383	0.04
T000148	1D	26702192	1.11
T000149	1A	28625080	0.45
T000149	1B	43452501	0.03
T000149	1D	27691274	1.42
T000150	1A	28709466	0.45
T000150	1B	43631099	0.03
T000150	1D	27859842	1.42
T000151	1A	28716854	0.45
T000151	1B	43639345	0.03
T000151	1D	27852337	1.42
T000152	1A	28760145	0.45
T000152	1B	44070003	0.05
T000152	1D	27898148	1.42
T000154	1A	29242681	0.52
T000154	1B	46875561	0.12
T000154	1D	28214967	1.04
T000155	1A	29280437	0.52
T000155	1B	46884103	0.12
T000155	1D	28290224	1.04
T000156	1A	29609927	0.52
T000156	1B	47162495	0.11
T000156	1D	28502650	1.04
T000158	1A	29797572	0.52
T000158	1B	47177700	0.11
T000158	1D	28570731	1.04
T000159	1A	29801440	0.52
T000159	1B	47181512	0.11
T000159	1D	28575369	1.04
T000161	1A	30294613	0.59
T000161	1B	48904516	0.19
T000161	1D	30239978	0.8
T000162	1A	30799744	0.59
T000162	1B	49883619	0.17
T000162	1D	31426800	0.72
T000163	1A	31031772	0.8
T000163	1B	39672697	0.41
T000163	1D	24140126	0.74
T000164	1A	31253475	0.8
T000164	1B	50204981	0.18
T000164	1D	32739080	0.66
T000165	1A	31780189	0.8
T000165	1B	50185023	0.18
T000165	1D	32545390	0.66
T000166	1A	31895910	0.8
T000166	1B	57023479	0.18
T000166	1D	37437588	0.13
T000167	1A	32086943	0.8
T000167	1B	50776883	0.18
T000167	1D	33471993	0.18
T000168	1A	32186579	0.8
T000168	1B	50987962	0.18
T000168	1D	33604879	0.18
T000169	1A	32261171	0.8
T000169	1B	51106458	0.17
T000169	1D	33639631	0.18
T000171	1A	32892597	0.8
T000171	1B	52900298	0.17
T000171	1D	34619548	0.18
T000172	1A	32898680	0.8
T000172	1B	52906422	0.17
T000172	1D	34625601	0.18
T000173	1A	33372049	0.8
T000173	1B	53247590	0.22
T000173	1D	34943759	0.18
T000174	1A	33374305	0.8
T000174	1B	53249853	0.22
T000174	1D	34945554	0.18
T000175	1A	33376590	0.8
T000175	1B	53251902	0.22
T000175	1D	34948158	0.18
T000176	1A	33398228	0.8
T000176	1B	53365240	0.22
T000176	1D	35060457	0.18
T000177	1A	34166345	0.8
T000177	1B	54879466	0.27
T000177	2D	178274600	0
T000178	1A	34408072	0.8
T000178	1B	54134362	0.27
T000178	1D	35651899	0.18
T000179	1A	35543272	0.8
T000179	1B	56062425	0.24
T000179	1D	36323171	0.16
T000180	1A	35934046	0.8
T000180	1B	56313186	0.24
T000180	1D	36536105	0.16
T000181	1A	35941030	0.8
T000181	1B	56319558	0.24
T000181	1D	36542587	0.16
T000182	1A	36269145	0.8
T000182	1B	56881176	0.24
T000182	1D	36833719	0.16
T000183	1A	36274830	0.8
T000183	1B	56886518	0.24
T000183	1D	36839011	0.16
T000184	1A	36279900	0.8
T000184	1B	56892371	0.24
T000184	1D	36844773	0.16
T000185	1A	36555962	0.8
T000185	1B	56977289	0.24
T000185	1D	37204339	0.13
T000186	1A	36565921	0.8
T000186	1B	56998939	0.24
T000186	1D	37217742	0.13
T000187	1A	36762737	0.8
T000187	1B	57380236	0.18
T000187	1D	37459508	0.13
T000188	1A	36766131	0.8
T000188	1B	57432433	0.18
T000188	1D	37517231	0.13
T000190	1A	36778507	0.8
T000190	1B	57499788	0.18
T000190	1D	37565423	0.13
T000191	1A	36840391	0.8
T000191	1B	57712869	0.18
T000191	1D	37897856	0.13
T000192	1A	37480044	1
T000192	1B	58323195	0.19
T000192	1D	38551020	0.16
T000193	1A	38367699	1.39
T000193	1B	58545523	0.19
T000193	1D	38658216	0.16
T000194	1A	38718313	1.39
T000194	5B	486694024	0.13
T000194	1D	38918221	0.16
T000195	1A	38731154	1.39
T000195	1B	59195222	0.21
T000195	1D	39290022	0.19
T000197	1A	39406509	0
T000197	1B	59603090	0.21
T000197	1D	39949721	0.19
T000198	1A	39636472	0
T000198	1B	59635048	0.21
T000198	1D	40000062	0.19
T000199	1A	39650745	0
T000199	1B	59832884	0.21
T000199	1D	40167529	0.19
T000200	1A	39893934	0
T000200	1B	60256810	0.25
T000200	1D	40797009	0.19
T000201	1A	40149833	0
T000201	1B	162346432	0
T000201	1D	40877828	0.19
T000202	1A	40900203	0
T000202	1B	60724871	0.25
T000202	1D	41157280	0.23
T000204	1A	41359854	0
T000204	1B	61526449	0.3
T000204	1D	41508679	0.23
T000205	1A	41367689	0
T000205	1B	61614476	0.3
T000205	1D	41565896	0.23
T000206	1A	41713127	0
T000206	1B	61668669	0.3
T000206	1D	41597870	0.23
T000207	1A	41742682	0
T000207	1B	61896376	0.3
T000207	1D	41719442	0.23
T000208	1A	41829971	0
T000208	1B	61953338	0.3
T000208	1D	41766450	0.23
T000209	1A	41919478	0
T000209	1B	62284807	0.39
T000209	1D	41915020	0.23
T000210	1A	42254021	0
T000210	1B	62722183	0.39
T000210	1D	42761804	0.22
T000212	1A	42505154	0
T000212	1B	62681805	0.39
T000212	1D	42845492	0.22
T000213	1A	42548207	0
T000213	1B	63052680	0
T000213	1D	43125402	0
T000214	1A	42603578	0
T000214	1B	63091068	0
T000214	2D	4497492	0.98
T000215	1A	42655761	0
T000215	1B	63190724	0
T000215	1D	43278241	0
T000216	1A	44410057	0.13
T000216	1B	63962654	0
T000216	1D	44645165	0
T000217	1A	45545821	0.47
T000217	1B	65350783	0
T000217	1D	45488311	0.17
T000218	1A	45795716	0.47
T000218	1B	65549180	0
T000218	1D	46183844	0.16
T000220	1A	46253325	0.4
T000220	1B	66509751	0
T000220	1D	46458830	0.16
T000221	1A	46292923	0.4
T000221	1B	66496485	0
T000221	1D	46446923	0.16
T000223	1A	47582992	0.36
T000223	1B	67445108	0
T000223	1D	47711474	0.15
T000224	1A	47802840	0.36
T000224	1B	67537355	0
T000224	1D	47876378	0.15
T000226	1A	47825833	0.36
T000226	1B	67682084	0
T000226	1D	48022912	0.15
T000228	1A	48593524	0.35
T000228	1B	68086510	0
T000228	1D	48403752	0.15
T000229	1A	48705187	0.35
T000229	1B	68244466	0
T000229	1D	48453850	0.15
T000230	1A	48727619	0.35
T000230	1B	68252284	0
T000230	1D	48460662	0.15
T000231	1A	48785070	0.35
T000231	1B	68945580	0
T000231	1D	48885601	0.15
T000232	1A	48972673	0.35
T000232	1B	69537479	0
T000232	1D	49415623	0.32
T000233	1A	48981200	0.35
T000233	1B	69541825	0
T000233	1D	49420725	0.32
T000236	1A	49151766	0.36
T000236	1B	69904892	0
T000236	1D	49602256	0.32
T000237	1A	49252716	0.36
T000237	1B	70192565	0
T000237	1D	49623792	0.32
T000238	1A	49279057	0.36
T000238	1B	70319951	0
T000238	1D	49934394	0.32
T000239	1A	49295578	0.36
T000239	1B	70335891	0
T000239	1D	49957537	0.32
T000240	1A	49362352	0.36
T000240	1B	70707858	0
T000240	1D	50193542	0.32
T000241	1A	49366270	0.36
T000241	1B	70711709	0
T000241	1D	50197220	0.32
T000242	1A	49486604	0.36
T000242	1B	74249718	0
T000242	1D	50206501	0.32
T000243	1A	49517571	0.36
T000243	1B	74244843	0
T000243	1D	50291100	0.32
T000244	1A	49897260	0.36
T000244	1B	72696799	0
T000244	1D	50719919	0.32
T000245	1A	49961112	0.36
T000245	1B	72246853	0
T000245	1D	50724055	0.32
T000247	1A	49973135	0.36
T000247	5B	45706978	0
T000247	1D	50916798	0.32
T000248	1A	52058066	0.57
T000248	2B	166470179	0
T000248	2D	115949363	0
T000249	1A	52456701	0.57
T000249	1B	83971970	0.06
T000249	1D	52661667	0.32
T000250	1A	52520216	0.57
T000250	1B	84562912	0.06
T000250	1D	52737629	0.32
T000251	1A	53024731	0.59
T000251	1B	85434597	0.08
T000251	1D	53233237	0.32
T000252	1A	53034935	0.59
T000252	1B	85441231	0.08
T000252	1D	53260260	0.32
T000253	1A	53437369	0.59
T000253	1B	87971485	0.13
T000253	1D	53869570	0.32
T000254	1A	53455742	0.59
T000254	1B	88003781	0.13
T000254	1D	53965583	0.32
T000256	1A	53675810	0.59
T000256	1B	90313254	0.13
T000256	1D	54338976	0.32
T000257	1A	53908295	0.59
T000257	1B	90420662	0.13
T000257	1D	54916538	0.32
T000258	1A	54001743	0.44
T000258	1B	90698695	0.13
T000258	1D	55410596	0.08
T000259	1A	54024728	0.44
T000259	1B	90941966	0.13
T000259	1D	55658518	0.08
T000260	1A	54076325	0.44
T000260	1B	90994691	0.13
T000260	1D	55670047	0.08
T000261	1A	54352213	0.44
T000261	1B	91554684	0.15
T000261	1D	55894824	0.08
T000263	1A	56618066	0.32
T000263	1B	92872280	0.2
T000263	1D	57477267	0
T000264	1A	56624159	0.32
T000264	1B	92879327	0.2
T000264	1D	57503196	0
T000265	1A	56920972	0.32
T000265	1B	93293158	0.33
T000265	1D	57957656	0
T000268	1A	57193357	0.35
T000268	1B	94183527	0.33
T000268	1D	58452449	0
T000269	1A	57206166	0.35
T000269	1B	94011511	0.33
T000269	1D	58514405	0
T000270	1A	57211285	0.35
T000270	1B	94005801	0.33
T000270	1D	58519599	0
T000271	1A	57305328	0.35
T000271	1B	93912738	0.33
T000271	1D	58573814	0
T000272	1A	57635102	0.35
T000272	1B	94226276	0.33
T000272	1D	58757542	0
T000273	1A	57681203	0.35
T000273	1B	94435567	0.33
T000273	1D	58882061	0
T000275	1A	57766681	0.35
T000275	1B	94829887	0.33
T000275	1D	59131963	0
T000276	1A	58124611	0.32
T000276	1B	94957144	0.33
T000276	1D	59515404	0
T000278	1A	58174346	0.32
T000278	1B	94979904	0.33
T000278	1D	59525654	0
T000279	1A	58202093	0.32
T000279	1B	95234153	0.78
T000279	1D	59618137	0
T000280	1A	58708960	0.32
T000280	1B	95659762	0.78
T000280	1D	59953974	0
T000281	1A	58750691	0.32
T000281	1B	95741713	0.78
T000281	1D	59968026	0
T000282	1A	58860445	0.32
T000282	1B	96314425	0
T000282	1D	60186060	0
T000283	1A	58905319	0.32
T000283	1B	96590450	0
T000283	1D	60222080	0
T000284	1A	58933134	0.32
T000284	1B	96517025	0
T000284	1D	60286462	0
T000285	1A	58947104	0.32
T000285	1B	96488663	0
T000285	1D	60317680	0
T000286	1A	59614817	0.22
T000286	1B	98168169	0
T000286	1D	61486073	0
T000287	1A	59858806	0.22
T000287	1B	98723752	0
T000287	1D	61946436	0
T000288	1A	60352681	0.18
T000288	1B	99593589	0
T000288	1D	62413397	0
T000289	1A	60356622	0.18
T000289	1B	99597613	0
T000289	1D	62417403	0
T000290	1A	60538958	0.18
T000290	1B	99711604	0
T000290	1D	62565768	0
T000291	1A	60737040	0.18
T000291	1B	99753629	0
T000291	1D	62599362	0
T000292	1A	60955563	0.18
T000292	1B	100309323	0
T000292	1D	62858655	0
T000293	1A	61009661	0.18
T000293	1B	100422906	0
T000293	1D	62890447	0
T000294	1A	61388201	0.18
T000294	1B	100651451	0
T000294	1D	63024453	0
T000295	1A	61576389	0.18
T000295	1B	101519776	0
T000295	1D	63544173	0
T000296	1A	62014511	0.15
T000296	1B	101233361	0
T000296	1D	63380944	0
T000297	1A	62022780	0.15
T000297	1B	101222367	0
T000297	1D	63373315	0
T000298	1A	62254093	0.15
T000298	1B	101143601	0
T000298	1D	63357655	0
T000299	1A	62576367	0.15
T000299	1B	104348596	0
T000299	1D	63608198	0
T000300	1A	62611909	0.15
T000300	1B	104464842	0
T000300	1D	63634070	0
T000301	1A	62615734	0.15
T000301	1B	104469359	0
T000301	1D	63637886	0
T000302	1A	63005183	0.13
T000302	1B	104721545	0
T000302	1D	63922739	0
T000303	1A	63046697	0.13
T000303	1B	104767215	0
T000303	1D	63945155	0
T000304	1A	63052069	0.13
T000304	1B	104772477	0
T000304	1D	63950023	0
T000306	1A	63329925	0.13
T000306	1B	105109662	0
T000306	1D	64140549	0
T000307	1A	64409544	0.07
T000307	1B	105692330	0
T000307	1D	65753241	0
T000308	1A	64596863	0.07
T000308	1B	106682265	0
T000308	1D	66093668	0
T000309	1A	64693158	0.07
T000309	1B	106765265	0
T000309	1D	66178968	0
T000310	1A	64714342	0.07
T000310	1B	106791886	0
T000310	1D	66189030	0
T000311	1A	65263629	0.08
T000311	1B	107134756	0
T000311	1D	66557166	0
T000312	1A	65392707	0.08
T000312	1B	107152931	0
T000312	1D	66628814	0
T000313	1A	65616227	0.08
T000313	1B	107370557	0
T000313	1D	66684923	0
T000314	1A	65759123	0.08
T000314	1B	108210438	0
T000314	1D	66987618	0
T000315	1A	65792998	0.08
T000315	1B	108216081	0
T000315	1D	66992961	0
T000316	1A	65799531	0.08
T000316	1B	108302702	0
T000316	1D	67000490	0
T000317	1A	66176370	0.06
T000317	1B	109212218	0
T000317	1D	67862552	0
T000318	1A	66893374	0.06
T000318	1B	109729369	0
T000318	1D	68446952	0
T000319	1A	67468356	0.04
T000319	1B	110127108	0
T000319	1D	68886359	0
T000320	1A	67685247	0.04
T000320	1B	110605954	0
T000320	1D	69095183	0
T000321	1A	67693935	0.04
T000321	1B	110622025	0
T000321	1D	69109855	0
T000322	1A	68374487	0.03
T000322	1B	111026011	0
T000322	1D	69180017	0
T000323	1A	69187510	0.03
T000323	1B	111259054	0
T000323	1D	69526146	0
T000324	1A	69191094	0.03
T000324	1B	111262976	0
T000324	1D	69617027	0
T000325	1A	69392689	0.03
T000325	1B	111370152	0
T000325	1D	69787861	0
T000326	1A	70040676	0
T000326	4B	289103682	0
T000326	4D	209904558	0
T000327	1A	70700267	0
T000327	1B	111670175	0
T000327	1D	70342293	0
T000328	1A	70906510	0
T000328	1B	111918222	0
T000328	1D	70456961	0
T000329	1A	71060048	0
T000329	1B	111972349	0
T000329	1D	70564857	0
T000330	1A	71076175	0
T000330	1B	112194805	0
T000330	1D	70571437	0
T000331	1A	71091465	0
T000331	1B	112206562	0
T000331	1D	70598352	0
T000332	1A	71559736	0
T000332	1B	112696373	0
T000332	1D	71045080	0
T000333	1A	71692458	0
T000333	1B	112751295	0
T000333	1D	71285504	0
T000334	1A	71785095	0
T000334	1B	113565337	0
T000334	1D	72498440	0
T000336	1A	72788527	0.07
T000336	1B	115285732	0
T000336	1D	73146641	0
T000337	1A	73093866	0.08
T000337	1B	115450444	0
T000337	1D	73316686	0
T000338	1A	73298013	0.08
T000338	1B	115956211	0
T000338	1D	73677310	0
T000339	1A	73304349	0.08
T000339	1B	116975305	0
T000339	1D	73685616	0
T000340	1A	73317606	0.08
T000340	1B	117174506	0
T000340	1D	73719427	0
T000341	1A	73326281	0.08
T000341	1B	117184280	0
T000341	1D	73727927	0
T000343	1A	73354089	0.08
T000343	1B	117389569	0
T000343	1D	73984376	0
T000344	1A	74437841	0.12
T000344	1B	118123080	0
T000344	1D	74275571	0
T000345	1A	75719328	0.08
T000345	1B	118518474	0
T000345	1D	75111767	0
T000346	1A	76027207	0.08
T000346	1B	119044876	0
T000346	1D	75536146	0
T000347	1A	76498378	0.08
T000347	1B	119124955	0
T000347	1D	75668665	0
T000348	1A	76729665	0.08
T000348	1B	119493585	0
T000348	1D	75916340	0
T000349	1A	77071382	0.09
T000349	1B	119766838	0
T000349	1D	76452602	0
T000350	1A	77075200	0.09
T000350	1B	119773754	0
T000350	1D	76457629	0
T000351	1A	77105885	0.09
T000351	1B	119885269	0
T000351	1D	76500460	0
T000352	1A	78327603	0
T000352	1B	137127270	0.12
T000352	1D	84503340	0.17
T000353	1A	78963502	0
T000353	1B	137453547	0.12
T000353	1D	84777147	0.17
T000354	1A	79168344	0
T000354	1B	137625699	0.12
T000354	1D	85180231	0.09
T000355	1A	79691790	0
T000355	1B	137635518	0.12
T000355	1D	85189331	0.09
T000356	1A	79701522	0
T000356	1B	137648808	0.12
T000356	1D	85198880	0.09
T000357	1A	80193004	0
T000357	1B	138039650	0.08
T000357	1D	85646684	0.09
T000358	1A	80303229	0
T000358	1B	138577066	0.08
T000358	1D	85931852	0.09
T000359	1A	80685167	0
T000359	1B	139071274	0.08
T000359	1D	86219318	0.09
T000360	1A	82079939	0
T000360	1B	139084266	0.08
T000360	1D	86516326	0.09
T000361	1A	82522701	0
T000361	1B	139663971	0.08
T000361	1D	86919350	0.09
T000363	1A	82949957	0
T000363	1B	140298124	0.06
T000363	1D	87093789	0.09
T000364	1A	83829201	0.15
T000364	1B	141117233	0.06
T000364	1D	87668794	0.09
T000365	1A	84008605	0.13
T000365	1B	141289864	0.06
T000365	1D	87761821	0.09
T000366	1A	84023430	0.13
T000366	1B	141722740	0.06
T000366	1D	87776880	0.09
T000367	1A	84728999	0.13
T000367	1B	142108633	0.04
T000367	1D	88224773	0.07
T000368	1A	84794636	0.13
T000368	1B	142132143	0.04
T000368	1D	88242235	0.07
T000370	1A	85337931	0.16
T000370	1B	142517113	0.04
T000370	1D	89237218	0
T000371	1A	85345258	0.16
T000371	1B	142523669	0.04
T000371	1D	89240316	0
T000372	1A	85823511	0.16
T000372	1B	143058807	0.04
T000372	1D	89518043	0
T000373	1A	86237958	0.15
T000373	1B	144929097	0.04
T000373	1D	90150204	0
